@relation customerBuysFrequent
@attribute γάλα_μη_αποβουτυρωμένο {,t}
@attribute άλλα_λαχανικά {,t}
@attribute ρολά/ψωμάκια {,t}
@attribute σόδα {,t}
@attribute γιαούρτι {,t}
@attribute ριζώδη_λαχανικά {,t}
@attribute τροπικά_φρούτα {,t}
@attribute εμφιαλωμένο_νερό {,t}
@attribute λουκάνικο {,t}
@attribute εσπεριδοειδή {,t}
@attribute ζύμη {,t}
@attribute φρούτα_με_κουκούτσι {,t}
@attribute τσάντες_αγορών {,t}
@attribute κονσερβοποιημένη_μπύρα {,t}
@attribute εμφιαλωμένη_μπύρα {,t}
@attribute σαντιγί {,t}
@attribute εφημερίδες {,t}
@attribute λουκάνικο_φρανκφούρτης {,t}
@attribute μαύρο_ψωμί {,t}
@attribute ντόπια_αυγά {,t}
@data

?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?
t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?
t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?
t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?
?,?,?,t,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?
?,?,t,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?
t,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?
?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,t,t,?
?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,t,?
?,t,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?
?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?
?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
t,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?
?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t
?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,t,?,?
?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,t
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?
t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?
?,t,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?
t,?,?,?,?,?,?,t,?,?,t,?,?,t,?,?,?,?,?,?
?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t
?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?
?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?
?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?
t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t
?,?,t,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?
?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?
?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?
?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,t,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?
t,t,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?
